region,total_pericyazine,total_antipsy,pericyazine_per_1000_items,percentage
East of England,13119,277470,47.3,4.7
West Midlands,580,246907,2.3,0.2
South West,306,209838,1.5,0.1
Yorkshire and the Humber,275,239651,1.1,0.1
"Kent, Surrey and Sussex",192,189490,1.0,0.1
Wessex,104,121442,0.9,0.1
East Midlands,155,188593,0.8,0.1
North West,315,412624,0.8,0.1
South London,103,124296,0.8,0.1
North Central and East London,84,151108,0.6,0.1
North East,96,162212,0.6,0.1
North West London,5,89949,0.1,0.0
Thames Valley,10,75489,0.1,0.0
Total,15344,2489069,6.2,0.6
