region,total_promazine,total_antipsy,promazine_per_1000_items,percentage
North West,20060,412624,48.6,4.9
West Midlands,3951,246907,16.0,1.6
East Midlands,1088,188593,5.8,0.6
North East,620,162212,3.8,0.4
Wessex,276,121442,2.3,0.2
Thames Valley,163,75489,2.2,0.2
"Kent, Surrey and Sussex",334,189490,1.8,0.2
Yorkshire and the Humber,371,239651,1.5,0.2
East of England,381,277470,1.4,0.1
North West London,100,89949,1.1,0.1
South London,127,124296,1.0,0.1
North Central and East London,122,151108,0.8,0.1
South West,131,209838,0.6,0.1
Total,27724,2489069,11.1,1.1
